"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-01","2020","01","01","","2.4","","-3.9","","-0.7","","18.7","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-02","2020","01","02","","1.7","","-7.3","","-2.8","","20.8","","0.0","","","","","","1.1","","","","2","","49",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-03","2020","01","03","","9.7","","-12.0","","-1.1","","19.1","","0.0","","","","","","0.4","","","","27","","72",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-04","2020","01","04","","9.0","","-4.6","","2.2","","15.8","","0.0","","","","","","0.0","","","","26","","86",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-05","2020","01","05","","1.7","","-6.3","","-2.3","","20.3","","0.0","","","","","","0.0","","","","28","","54",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-06","2020","01","06","","-0.2","","-9.5","","-4.9","","22.9","","0.0","","","","","","0.0","","","","29","","34",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-07","2020","01","07","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-08","2020","01","08","","-4.9","","-14.9","","-9.9","","27.9","","0.0","","","","","","0.4","","","","36","","41",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-09","2020","01","09","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-10","2020","01","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-11","2020","01","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-12","2020","01","12","","-21.1","","-27.2","","-24.2","","42.2","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-13","2020","01","13","","-26.9","","-30.7","","-28.8","","46.8","","0.0","","","","","","2.8","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-14","2020","01","14","","-29.7","","-34.1","","-31.9","","49.9","","0.0","","","","","","2.3","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-15","2020","01","15","","-28.8","","-34.8","","-31.8","","49.8","","0.0","","","","","","6.2","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2020-01-16","2020","01","16","","-27.9","","-31.4","","-29.7","","47.7","","0.0","","","","","","1.8","","","","","","",""
