Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-01,2022,1,1,,-3.9,,-27,,-15.5,,33.5,,0,,,,,,1,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-02,2022,1,2,,0.7,,-13.7,,-6.5,,24.5,,0,,,,,,0,,,,25,,92,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-03,2022,1,3,,-13.7,,-26.4,,-20.1,,38.1,,0,,,,,,1.4,,,,2,,31,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-04,2022,1,4,,-25.2,,-27.5,,-26.4,,44.4,,0,,,,,,2.1,,,,2,,33,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-05,2022,1,5,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-06,2022,1,6,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-07,2022,1,7,,-22.1,,-25.8,,-23.9,,41.9,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-08,2022,1,8,,-9.1,,-24.5,,-16.8,,34.8,,0,,,,,,2.7,,,,19,,32,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-09,2022,1,9,,4.5,,-14.1,,-4.8,,22.8,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-10,2022,1,10,,10.5,,0.1,,5.3,,12.7,,0,,,,,,0,,,,27,,55,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2022-01-11,2022,1,11,,8.6,,0.2,,4.4,,13.6,,0,,,,,,0,,,,27,,90,
