COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
39 AVENUE SE LRT STATION,323 39 AV SE,323 39 AV SE;4115 1 ST SE,LRT STATION,WARD 9,MANCHESTER INDUSTRIAL,{EB38932E-66C5-4ACB-B59A-904F681A4505},"MULTIPOLYGON (((-114.0611912 51.0179585, -114.061244 51.0179635, -114.0614643 51.0170331, -114.0614088 51.0170273, -114.0611912 51.0179585)), ((-114.0616221 51.0170477, -114.0615717 51.0170424, -114.0613527 51.0179739, -114.0614034 51.0179791, -114.0614726 51.0176945, -114.0615629 51.0173056, -114.0616328 51.0172858, -114.0616494 51.0172579, -114.0615689 51.0172809, -114.0616221 51.0170477)))"
3212 32A AV SE HOUSING,3212 32A AV SE,3212 32A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{391466AA-0542-4103-9CBF-D5821FFBF852},"MULTIPOLYGON (((-113.9883306 51.0248549, -113.9884511 51.0249309, -113.9885193 51.0248913, -113.9884039 51.0248123, -113.9883306 51.0248549)))"
3461 33A AV SE HOUSING,3461 33A AV SE,3461 33A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{E5DAA738-EF8F-4D41-8533-9DA3E6C417D5},"MULTIPOLYGON (((-113.9826024 51.0235789, -113.9825072 51.0235788, -113.9825069 51.0236867, -113.9826034 51.0236868, -113.9826024 51.0235789)))"
FIRE STATION #23,2727 26 AV SE,2727 26 AV SE,FIRE,WARD 9,DOVER,{F199B9D1-319F-4600-A2AD-85AD0E7B1660},"MULTIPOLYGON (((-113.9938221 51.0299832, -113.9938223 51.0300409, -113.9935798 51.0300408, -113.9935805 51.0302483, -113.9938043 51.0302485, -113.9938254 51.0302485, -113.9938255 51.0302683, -113.9939875 51.030267, -113.9939875 51.0302426, -113.9940011 51.0302426, -113.9940012 51.0302148, -113.9940275 51.0302148, -113.994027 51.0301197, -113.9940189 51.0301197, -113.9940187 51.0300705, -113.9939942 51.0300705, -113.9939942 51.0300084, -113.9939867 51.0300084, -113.9939866 51.0299832, -113.9938294 51.0299832, -113.9938221 51.0299832)))"
3469 33A AV SE HOUSING,3469 33A AV SE,3469 33A AV SE,HOUSING - DUPLEX,WARD 9,DOVER,{7BF8E8CE-1240-4361-9791-775205AB237C},"MULTIPOLYGON (((-113.9820788 51.0239017, -113.9820792 51.0239624, -113.9822504 51.0239621, -113.9822501 51.0239017, -113.9820788 51.0239017)))"
2724 76 AV SE HOUSING,2724 76 AV SE,2732 76 AV SE,HOUSING - TOWNHOUSE,WARD 9,OGDEN,{A480C4E7-1885-49F7-8A67-421D7A0B23D0},"MULTIPOLYGON (((-113.9962719 50.9851875, -113.9961729 50.9851878, -113.9961728 50.9852926, -113.9962719 50.9852923, -113.9962719 50.9851875)))"
SENIOR SERVICES,311 34 AV SE,311 34 AV SE,MULTI-SERVICE,WARD 9,MANCHESTER INDUSTRIAL,{1376181D-6EF2-4FFF-B7EF-A0019C9E981C},"MULTIPOLYGON (((-114.0585964 51.0228861, -114.058472 51.0228508, -114.0584438 51.0228903, -114.0581685 51.0228123, -114.0580247 51.0230142, -114.0581988 51.0230635, -114.0581893 51.0230768, -114.0582259 51.0230872, -114.0582395 51.0230911, -114.0582483 51.0230787, -114.0584238 51.0231284, -114.0585964 51.0228861)))"
DOVER COMMUNITY ASSOCIATION,3133 30 AV SE,3133 30 AV SE,COMMUNITY GATHERING,WARD 9,DOVER,{09E1016F-A4C3-4BC5-9DB0-832E5DCDC4C1},"MULTIPOLYGON (((-113.9888349 51.026602, -113.9888347 51.0266048, -113.9888357 51.026787, -113.9891026 51.0267864, -113.9891025 51.0268047, -113.9892176 51.026805, -113.989271 51.0268391, -113.9892981 51.0268222, -113.9893252 51.0268053, -113.9893341 51.0268053, -113.989334 51.0267863, -113.9893654 51.0267862, -113.9893644 51.0266008, -113.9892567 51.0266011, -113.9890431 51.0266015, -113.9890126 51.0266016, -113.9888661 51.0266019, -113.988838 51.026602, -113.9888349 51.026602)))"
BONNYBROOK WWTP STORAGE TENT SM,4500 15 ST SE,4500 15 ST SE,COLD STORAGE,WARD 9,ALYTH/BONNYBROOK,{2C9CF1DD-F224-43D2-8197-BE3970313172},"MULTIPOLYGON (((-114.0184879 51.0109227, -114.0185443 51.0108589, -114.0184188 51.0108148, -114.0183624 51.0108786, -114.0184879 51.0109227)))"
OGDEN HOUSE SENIOR CITIZENS CLUB,2102 69 AV SE,2110 69 AV SE,SOCIAL RECREATION BUILDING,WARD 9,OGDEN,{721A4F89-375E-42A3-8C89-E3300CC4FA74},"MULTIPOLYGON (((-114.0113372 50.9912579, -114.0113372 50.9912598, -114.0113371 50.9912805, -114.011156 50.9912813, -114.011152 50.9912814, -114.0111522 50.9913627, -114.0111445 50.9913626, -114.0111447 50.9914903, -114.0111447 50.9915481, -114.0111447 50.9915528, -114.0113012 50.9915536, -114.0113014 50.9916194, -114.0113267 50.9916194, -114.0113432 50.9916194, -114.0114786 50.9916192, -114.0114782 50.9914228, -114.0115072 50.991422, -114.011508 50.9913519, -114.0114787 50.991352, -114.0114784 50.9912807, -114.0114028 50.9912811, -114.0114029 50.9912579, -114.0113372 50.9912579)))"
