Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-01,2023,1,1,,3.7,,-4.1,,-0.2,,18.2,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-02,2023,1,2,,0.9,,-7.3,,-3.2,,21.2,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-03,2023,1,3,,0.6,,-5.1,,-2.3,,20.3,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-04,2023,1,4,,-0.2,,-7.3,,-3.8,,21.8,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-05,2023,1,5,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-06,2023,1,6,,7.5,,-4.5,,1.5,,16.5,,0,,,,,,0,,,,29,,40,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-07,2023,1,7,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-08,2023,1,8,,3.1,,-3.6,,-0.2,,18.2,,0,,,,,,0,,,,28,,34,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-09,2023,1,9,,5.5,,-2.1,,1.7,,16.3,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-10,2023,1,10,,3.8,,-2.8,,0.5,,17.5,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-11,2023,1,11,,-0.7,,-7.5,,-4.1,,22.1,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-12,2023,1,12,,5.4,,-5.8,,-0.2,,18.2,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-13,2023,1,13,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-14,2023,1,14,,7.9,,-0.4,,3.8,,14.2,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-15,2023,1,15,,1.5,,-4.1,,-1.3,,19.3,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-16,2023,1,16,,2,,-9.3,,-3.6,,21.6,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-17,2023,1,17,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-18,2023,1,18,,4.2,,-3.5,,0.4,,17.6,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-19,2023,1,19,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-20,2023,1,20,,3.5,,-5.5,,-1,,19,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-21,2023,1,21,,10.8,,2,,6.4,,11.6,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-22,2023,1,22,,3.1,,-5.1,,-1,,19,,0,,,,,,0.4,,,,1,,43,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-23,2023,1,23,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-24,2023,1,24,,2.2,,-3.9,,-0.8,,18.8,,0,,,,,,0,,,,30,,41,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-25,2023,1,25,,4.4,,-3.9,,0.3,,17.7,,0,,,,,,0,,,,33,,47,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-26,2023,1,26,,9.4,,-1.4,,4,,14,,0,,,,,,0,,,,30,,70,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-27,2023,1,27,,-0.3,,-13.8,,-7.1,,25.1,,0,,,,,,5.5,,,,2,,111,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-28,2023,1,28,,-13.8,,-22.5,,-18.1,,36.1,,0,,,,,,0.6,,,,2,,32,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-29,2023,1,29,,-11.9,,-25.3,,-18.6,,36.6,,0,,,,,,0.5,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-30,2023,1,30,,-7.2,,-12.6,,-9.9,,27.9,,0,,,,,,1,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-01-31,2023,1,31,,-6.9,,-12.5,,-9.7,,27.7,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-02-01,2023,2,1,,-2.5,,-16.3,,-9.4,,27.4,,0,,,,,,0,,,,,,,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-02-02,2023,2,2,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-02-03,2023,2,3,,8.4,,-3.1,,2.7,,15.3,,0,,,,,,0,,,,26,,40,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-02-04,2023,2,4,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-02-05,2023,2,5,,5.8,,-2,,1.9,,16.1,,0,,,,,,0,,,,29,,47,
-114.29,50.87,PRIDDIS OBSERVATORY,3033505,2023-02-06,2023,2,6,,7.9,,-3,,2.4,,15.6,,0,,,,,,0,,,,29,,53,
