TYPE,NAME,ADDRESS,COMM_CODE,POINT
Attraction,Nickle Arts Museum (University of Calgary),410 University CO NW,UOC,POINT (-114.1298132 51.0774525)
Community Centre,Meadowlark Park Community Centre,623 58 AV SW,MEA,POINT (-114.0778146 51.0010765)
Community Centre,Cedarbrae Community Centre,11024 Oakfield DR SW,CED,POINT (-114.129881 50.9545475)
Library,Memorial Park Library,1221 2 ST SW,BLN,POINT (-114.0690596 51.041109)
Community Centre,Parkhill/Stanley Park Community Centre,4013 Stanley RD SW,PKH,POINT (-114.0647616 51.0184782)
Community Centre,Whitehorn Community Centre,228 Whitehorn RD NE,WHI,POINT (-113.96695 51.0887886)
Attraction,Calgary City Hall & Municipal Complex,800 Macleod TR SE,DNC,POINT (-114.0579272 51.0453997)
Hospital,Rockyview General Hospital,7007 - 14 ST SW,EAG,POINT (-114.0963207 50.9918289)
PHS Clinic,South Calgary Health Centre,31 Sunpark Plaza SE,SDC,POINT (-114.058575 50.9025753)
Community Centre,North Glenmore Park Community Centre,2231 Longridge DR SW,NGM,POINT (-114.1120604 50.9981174)
Visitor Info,Calgary Chamber of Commerce,600 237 8 AV SE,DNC,POINT (-114.0583675 51.0451849)
Visitor Info,Tourism Calgary Airport,2000 Airport RD NE,CIA,POINT (-114.0092457 51.1313101)
Community Centre,Lake Bonavista Downs Community Centre,1418 Lake Ontario RD SE,BDO,POINT (-114.0319163 50.9418731)
Community Centre,Dalhousie Community Centre,5432 Dalhart RD NW,DAL,POINT (-114.1597161 51.1128488)
Community Centre,Chaparral Residents Association,225 CHAPARRAL DR SE,CHA,POINT (-114.0364196 50.8863625)
PHS Clinic,Acadia Community Health Centre,151 - 86 AV SE,ACA,POINT (-114.0709401 50.975072)
Community Centre,Huntington Hills Community Centre,520 78 AV NW,HUN,POINT (-114.0722785 51.1237268)
Attraction,TELUS Spark  Centre,220 ST GEORGES DR NE,REN,POINT (-114.0245847 51.0538402)
Court,Alberta Provincial Court (Civil),# 606-S 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Attraction,Tsuu T'ina Culture Museum,"62 Old Agency Road, Tsuut'ina Nation, AB T2W3C4",CED,POINT (-114.1566975 50.9428498)
Community Centre,Citadel Community Centre,860 CITADEL DR NW,CIT,POINT (-114.1735199 51.1447229)
Social Dev Ctr,West Area,2539 33 AV SW,CFC,POINT (-114.1238071 51.0232394)
Community Centre,Erin Woods Community Centre,83 Erin Park DR SE,ERI,POINT (-113.9637375 51.0228956)
Community Centre,Beltline Neighbourhoods Association,102 17 AV SW,BLN,POINT (-114.063836 51.0379958)
Community Centre,Shaganappi Community Centre,2608 14 AV SW,SHG,POINT (-114.1189263 51.0399153)
Court,Alberta Provincial Court (Youth),# 201-N 601 5 ST SW,DNC,POINT (-114.0741232 51.0469256)
Attraction,The Confluence Historic Site & Parkland,750 9 AV SE,DNE,POINT (-114.0451883 51.0440588)
Attraction,Telus Convention Centre,120 9 AV SE,DNC,POINT (-114.0618193 51.0447259)
Community Centre,Spruce Cliff Community Centre,3375 Spruce DR SW,SPR,POINT (-114.1363299 51.0475037)
Community Centre,Silver Springs Community Centre,5720 Silver Ridge DR NW,SIL,POINT (-114.1925301 51.1046521)
Attraction,Fish Creek Provincial Park (Bow Valley Ranch),15979 Bow Bottom TR SE,FPK,POINT (-114.0151076 50.9093386)
Community Centre,Crossroads Community Centre,1803 14 AV NE,MAL,POINT (-114.01913 51.065163)
Attraction,"Calgary Zoo, Botanical Garden & Prehistoric Park",1300 Zoo RD NE,BRD,POINT (-114.0316394 51.0440659)
Community Centre,"Palliser, Bayview, Pumphill Community Centre",2323 Palliser DR SW,PAL,POINT (-114.1137258 50.9686301)
PHS Clinic,Thornhill Community Health Centre,6617 Centre ST NW,HUN,POINT (-114.0639146 51.1121862)
Attraction,Calgary Chamber of Commerce,237 8 Ave SE,DNC,POINT (-114.0632333 51.0476328)
Attraction,Glenbow Alberta Museum,130 9 AV SE,DNC,POINT (-114.0611237 51.0447061)
